lake_name,url,bullhead,bluegill,catfish,crappie,largemouth_bass,redear_sunfish,muskellunge,trout,saugeye,pike,wiper,smallmouth_bass,walleye,carp_buffalo,gar,yellow_bass,white_bass,drum,striped_bass,burbot,perch,sauger,bowfin
Lake Profile -- ANDERSON LAKE,https://ifishillinois.org/profiles/waterbody.php?waternum=01000,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Lake Profile -- ANNA CITY LAKE,https://ifishillinois.org/profiles/waterbody.php?waternum=53023,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake Profile -- ARGYLE LAKE,https://ifishillinois.org/profiles/waterbody.php?waternum=00028,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Lake Profile -- ARROWHEAD LAKE,https://ifishillinois.org/profiles/waterbody.php?waternum=54033,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake Profile -- ASHLAND NEW RESERVOIR,https://ifishillinois.org/profiles/waterbody.php?waternum=04608,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lake Profile -- ASHLAND OLD RESERVOIR,https://ifishillinois.org/profiles/waterbody.php?waternum=04611,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Lake Profile -- ATWOOD, LAKE",https://ifishillinois.org/profiles/waterbody.php?waternum=00070,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lake Profile -- AXEHEAD LAKE (CCFPD),https://ifishillinois.org/profiles/waterbody.php?waternum=00085,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0
Lake Profile -- BAGOSY POND,https://ifishillinois.org/profiles/waterbody.php?waternum=00041,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake Profile -- BAKERS LAKE,https://ifishillinois.org/profiles/waterbody.php?waternum=04005,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lake Profile -- BALDWIN LAKE,https://ifishillinois.org/profiles/waterbody.php?waternum=00195,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
Lake Profile -- BANANA LAKE (LCFPD),https://ifishillinois.org/profiles/waterbody.php?waternum=00511,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
